time,point,group,count
2022-02-03 14:25:00,1.3597,41.0,33
2022-02-03 14:25:00,1.36004,42.0,23
2022-02-03 14:08:00,1.36233,40.0,2
2022-02-03 14:06:00,1.36154,39.0,8
2022-02-03 14:02:00,1.36054,38.0,19
2022-02-03 14:01:00,1.36079,37.0,77
2022-02-02 15:19:00,1.35751,36.0,12
2022-02-02 15:14:00,1.35784,35.0,2
2022-02-02 15:13:00,1.35807,34.0,4
2022-02-02 15:08:00,1.35777,33.0,22
2022-02-02 15:01:00,1.35839,32.0,132
2022-02-02 14:16:00,1.35707,31.0,8
2022-02-02 14:15:00,1.35721,30.0,56
2022-02-02 13:53:00,1.3566,29.0,26
2022-02-02 13:50:00,1.35639,28.0,87
2022-02-02 13:32:00,1.356,27.0,13
2022-02-02 13:27:00,1.35585,26.0,4
2022-02-02 13:24:00,1.35549,25.0,2
2022-02-02 13:19:00,1.35572,24.0,78
2022-02-02 13:04:00,1.35521,23.0,2
2022-02-02 13:00:00,1.3554,22.0,22
2022-02-02 12:55:00,1.35475,21.0,29
2022-02-02 12:52:00,1.3553,20.0,26
2022-02-02 12:35:00,1.3547,19.0,2
2022-02-02 10:32:00,1.35447,17.0,4
2022-02-02 10:32:00,1.35465,18.0,2
2022-02-02 10:26:00,1.35417,16.0,8
2022-02-02 10:24:00,1.35429,15.0,21
2022-02-02 10:03:00,1.35386,14.0,3
2022-02-02 09:38:00,1.35364,13.0,2
2022-02-02 09:32:00,1.35368,12.0,9
2022-02-02 09:22:00,1.35348,11.0,5
2022-02-02 09:19:00,1.35318,10.0,7
2022-02-02 09:16:00,1.35337,9.0,20
2022-02-02 01:45:00,1.35266,8.0,186
2022-02-02 01:41:00,1.35253,7.0,2
2022-02-02 00:38:00,1.3519,6.0,7
2022-02-02 00:35:00,1.35216,5.0,25
2022-02-02 00:07:00,1.35147,4.0,12
2022-02-02 00:05:00,1.35119,3.0,13
2022-02-01 23:55:00,1.35231,2.0,18
2022-02-01 23:53:00,1.35248,1.0,76
